Downloaded from wid.world on 04-06-2019 at 15:01:55
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources
AF;Afghanistan;sdiinc992j;p50p60;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
AF;Afghanistan;sdiinc992j;p60p70;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
AF;Afghanistan;sdiinc992j;p90p100;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
AF;Afghanistan;sdiinc992j;p70p80;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
AF;Afghanistan;sdiinc992j;p80p90;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
QB;Africa;sdiinc992j;p70p80;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
QB;Africa;sdiinc992j;p90p100;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
QB;Africa;sdiinc992j;p50p60;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
QB;Africa;sdiinc992j;p80p90;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
QB;Africa;sdiinc992j;p60p70;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
US-AL;Alabama;sdiinc992j;p70p80;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
US-AL;Alabama;sdiinc992j;p60p70;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
US-AL;Alabama;sdiinc992j;p90p100;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
US-AL;Alabama;sdiinc992j;p50p60;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
US-AL;Alabama;sdiinc992j;p80p90;share;Post-tax national income. Share Adults. equal-split adults;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Post-tax national income]=[Post-tax disposable income]+[Public spending]; ; 
